taxon,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact,pval,ci_lo,ci_hi
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,2.0,0.02423136835841344,0.061784327030181885,-0.0006581719321843843,0.0,0.0,0.3164399340897859,0.386,-0.5791631440360113,1.673627031988364
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,1.0,0.025612419173306922,0.05645561218261719,-5.198854147333426e-05,0.0,0.0,0.27900172129725104,0.352,-0.4915596007990248,1.5004369541624545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,1.0,0.01685087027288734,0.01072758436203003,-0.0005517988427867701,0.0,1.0,0.2683618208702974,0.07,-0.21789986935955133,0.5191728950956723
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,0.0,0.014517901696385227,0.04948744177818298,0.001222245035607021,0.0,0.0,0.2611242086873519,0.24,-0.1312533549789746,0.7144427098261649
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0.0,0.0028016811658981844,0.019363462924957275,0.00041198857287143287,0.0,1.0,0.2371040380721927,0.092,-0.5005365402702359,0.7083020940242192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_unclassified,1.0,0.029461450905889475,0.027488350868225098,-0.00015273297359165439,0.0,0.0,0.231169873313843,0.138,-0.1857024671399197,0.7338596270926786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0.0,0.005704810061349708,0.012279868125915527,0.0002656974629163117,0.0,1.0,0.22023306237812057,0.322,-0.7348469183889316,0.7981551978418422
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,-1.0,-0.033838821771858374,0.09976637363433838,0.0024730757526039773,0.0,0.0,0.21213639519734626,0.532,-0.4424236163362182,1.7996689964490518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,1.0,0.026022921585277636,0.03130614757537842,-0.00031293226986654765,0.0,0.0,0.21007520918413417,0.104,-0.1803616555369979,1.1392299184768993
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,1.0,0.03719737549646718,-0.03033357858657837,-0.0016529263168656091,0.0,1.0,0.15782929762577408,0.264,-0.511934082099362,1.3818702559638847
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.0,0.011732899879210112,0.026316463947296143,0.0006418649743242938,0.0,0.0,0.15294680386952914,0.222,-0.37873311286728156,0.6573555913478457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31,0.0,-0.005850879982504775,0.029359400272369385,0.0007160829334724242,0.0,0.0,0.1042278871957934,0.232,-0.1546370862092393,0.8382286455942995
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,1.0,0.009782018245942048,0.00618588924407959,-0.000859024842286088,0.0,0.0,0.054811175412194164,0.576,-0.3681771523660039,0.8211151872051893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,1.0,0.007341580042311335,0.0031980276107788086,-0.0007331973057702612,0.0,0.0,0.0534321976443649,0.498,-0.2194433301254854,0.44504866446158475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,-2.0,-0.03463955724441137,0.04349061846733093,0.002656871644445606,0.0,0.0,0.035042684549449706,0.582,-1.063829321077032,0.7493140999328477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.0,-0.0007925156190209393,0.013452410697937012,7.036494347975597e-05,0.0,0.0,0.02986852777820806,0.604,-0.8291589928515258,0.7114782996704823
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0.0,6.290915270223962e-05,0.0017853975296020508,4.3546281209803916e-05,0.0,0.0,0.009535800071175224,0.35,-0.2606743728791341,0.4273769588496617
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0.0,-0.001163730591572154,0.0025104880332946777,6.123141544621402e-05,0.0,0.0,0.008282602348508963,0.46,-0.29961746332951095,0.6998273267317846
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.43,-0.162848793061471,0.21876493580424375
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.484,-0.31967748666052065,0.18825668534622406
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.436,-0.2531204888840915,0.3701191157613675
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.41,-0.24326550699375016,0.19009826850878073
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.446,-0.2547774358615495,0.2699932755454882
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.46,-0.30545253500290354,0.29062946761149366
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.348,-0.37034639204921943,0.48596616446914526
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0018465529168202224,0.738,-0.5230172522267695,0.5624526042956574
