feature,mean_a,mean_b,cohens_d,perm_p,wilcox_p,n_ids_a,n_ids_b,comparison,subset,n_taxa,perm_p_fdr18,sig_fdr18
h1_count,22.63,24.425,-0.3816,0.001996,0.000463,367,2747,diet,full,80,0.004491,True
h1_entropy,2.721,2.7923,-0.3344,0.005988,0.003951,367,2747,diet,full,80,0.009798545454545456,True
h1_total_persistence,0.804,0.805,-0.0051,0.976048,0.929994,367,2747,diet,full,80,0.976048,False
h1_mean_lifetime,0.0357,0.0333,0.335,0.003992,0.000268,367,2747,diet,full,80,0.0071856,True
h1_max_lifetime,0.1181,0.1148,0.1112,0.283433,0.513891,367,2747,diet,full,80,0.318862125,False
max_betti1,7.73,6.925,0.3889,0.001996,0.000234,367,2747,diet,full,80,0.004491,True
h1_count,24.845,23.835,0.2017,0.047904,0.028957,479,1284,antibiotics,matched,80,0.07838836363636364,False
h1_entropy,2.7909,2.7652,0.1157,0.269461,0.127206,479,1284,antibiotics,matched,80,0.3464498571428572,False
h1_total_persistence,0.842,0.798,0.2159,0.02994,0.03749,479,1284,antibiotics,matched,80,0.05389200000000001,False
h1_mean_lifetime,0.0341,0.0339,0.0321,0.768463,0.739054,479,1284,antibiotics,matched,80,0.8136667058823529,False
h1_max_lifetime,0.1214,0.1175,0.1263,0.201597,0.220326,479,1284,antibiotics,matched,80,0.2791343076923077,False
max_betti1,6.97,7.095,-0.0594,0.558882,0.571259,479,1284,antibiotics,matched,80,0.6706584,False
h1_count,17.03,24.66,-1.6018,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
h1_entropy,2.3851,2.8026,-1.5076,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
h1_total_persistence,0.3992,0.794,-2.3572,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
h1_mean_lifetime,0.0237,0.0323,-1.525,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
h1_max_lifetime,0.0834,0.113,-1.105,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
max_betti1,3.23,6.985,-2.4048,0.001996,0.0,135,404,ibd,matched,80,0.004491,True
h1_count,22.78,23.815,-0.2054,0.053892,0.025279,308,922,diet,matched,80,0.08083800000000001,False
h1_entropy,2.7337,2.7453,-0.0484,0.630739,0.444971,308,922,diet,matched,80,0.7095813750000001,False
h1_total_persistence,0.8221,0.7743,0.2337,0.017964,0.003613,308,922,diet,matched,80,0.035928,True
