test,feature_set,seed,n_folds,test_size,subsample_frac,mean_auc,std_auc
split_ratio,Topology only,1,,0.3,1.0,0.5711,
split_ratio,Topology only,2,,0.3,1.0,0.5958,
split_ratio,Topology only,3,,0.3,1.0,0.5635,
split_ratio,Topology only,4,,0.3,1.0,0.5664,
split_ratio,Topology only,0,,0.2,1.0,0.5854,
split_ratio,Topology only,1,,0.2,1.0,0.5621,
split_ratio,Topology only,2,,0.2,1.0,0.6192,
split_ratio,Topology only,3,,0.2,1.0,0.5321,
split_ratio,Topology only,4,,0.2,1.0,0.5675,
split_ratio,Topology only,0,,0.1,1.0,0.5969,
split_ratio,Topology only,1,,0.1,1.0,0.4838,
split_ratio,Topology only,2,,0.1,1.0,0.5842,
split_ratio,Topology only,3,,0.1,1.0,0.555,
split_ratio,Topology only,4,,0.1,1.0,0.6046,
split_ratio,Topo + Shannon,0,,0.4,1.0,0.6666,
split_ratio,Topo + Shannon,1,,0.4,1.0,0.6774,
split_ratio,Topo + Shannon,2,,0.4,1.0,0.682,
split_ratio,Topo + Shannon,3,,0.4,1.0,0.6601,
split_ratio,Topo + Shannon,4,,0.4,1.0,0.6656,
split_ratio,Topo + Shannon,0,,0.3,1.0,0.6751,
split_ratio,Topo + Shannon,1,,0.3,1.0,0.6615,
split_ratio,Topo + Shannon,2,,0.3,1.0,0.6633,
split_ratio,Topo + Shannon,3,,0.3,1.0,0.6676,
split_ratio,Topo + Shannon,4,,0.3,1.0,0.6503,
split_ratio,Topo + Shannon,0,,0.2,1.0,0.7083,
split_ratio,Topo + Shannon,1,,0.2,1.0,0.6537,
split_ratio,Topo + Shannon,2,,0.2,1.0,0.6677,
split_ratio,Topo + Shannon,3,,0.2,1.0,0.6427,
split_ratio,Topo + Shannon,4,,0.2,1.0,0.6615,
split_ratio,Topo + Shannon,0,,0.1,1.0,0.727,
split_ratio,Topo + Shannon,1,,0.1,1.0,0.6122,
split_ratio,Topo + Shannon,2,,0.1,1.0,0.6718,
split_ratio,Topo + Shannon,3,,0.1,1.0,0.6426,
split_ratio,Topo + Shannon,4,,0.1,1.0,0.6363,
cv_folds,Shannon only,42,3.0,,1.0,0.6457,0.0054
cv_folds,Shannon only,42,5.0,,1.0,0.6454,0.0248
cv_folds,Shannon only,42,7.0,,1.0,0.6462,0.0299
cv_folds,Shannon only,42,10.0,,1.0,0.6465,0.0297
cv_folds,Topology only,42,3.0,,1.0,0.5946,0.0283
cv_folds,Topology only,42,5.0,,1.0,0.5906,0.0386
cv_folds,Topology only,42,7.0,,1.0,0.5925,0.045
cv_folds,Topology only,42,10.0,,1.0,0.5915,0.0716
cv_folds,Topo + Shannon,42,3.0,,1.0,0.6746,0.0135
cv_folds,Topo + Shannon,42,5.0,,1.0,0.6729,0.0368
cv_folds,Topo + Shannon,42,7.0,,1.0,0.6705,0.0306
cv_folds,Topo + Shannon,42,10.0,,1.0,0.6703,0.0545
subsampling,Shannon only,0,5.0,,0.25,0.6649,0.0786
subsampling,Shannon only,1,5.0,,0.25,0.6562,0.0754
subsampling,Shannon only,2,5.0,,0.25,0.616,0.0656
subsampling,Shannon only,3,5.0,,0.25,0.6369,0.0339
subsampling,Shannon only,4,5.0,,0.25,0.6527,0.0535
subsampling,Shannon only,0,5.0,,0.5,0.6565,0.046
subsampling,Shannon only,1,5.0,,0.5,0.6727,0.0341
subsampling,Shannon only,2,5.0,,0.5,0.6629,0.0432
subsampling,Shannon only,3,5.0,,0.5,0.6431,0.033
subsampling,Shannon only,4,5.0,,0.5,0.6551,0.0536
subsampling,Shannon only,0,5.0,,0.75,0.6291,0.0367
subsampling,Shannon only,1,5.0,,0.75,0.635,0.0307
subsampling,Shannon only,2,5.0,,0.75,0.6627,0.0404
subsampling,Shannon only,3,5.0,,0.75,0.6432,0.0635
subsampling,Shannon only,4,5.0,,0.75,0.6422,0.0249
subsampling,Shannon only,0,5.0,,1.0,0.6459,0.022
subsampling,Shannon only,1,5.0,,1.0,0.6447,0.0522
subsampling,Shannon only,2,5.0,,1.0,0.6444,0.0312
subsampling,Shannon only,3,5.0,,1.0,0.6443,0.0191
subsampling,Shannon only,4,5.0,,1.0,0.6466,0.0265
subsampling,Topology only,0,5.0,,0.25,0.519,0.0454
subsampling,Topology only,1,5.0,,0.25,0.5181,0.0823
subsampling,Topology only,2,5.0,,0.25,0.6104,0.1016
subsampling,Topology only,3,5.0,,0.25,0.616,0.0765
subsampling,Topology only,4,5.0,,0.25,0.5701,0.0497
subsampling,Topology only,0,5.0,,0.5,0.5658,0.036
subsampling,Topology only,1,5.0,,0.5,0.597,0.0613
subsampling,Topology only,2,5.0,,0.5,0.5616,0.038
subsampling,Topology only,3,5.0,,0.5,0.6083,0.0234
subsampling,Topology only,4,5.0,,0.5,0.5743,0.0496
subsampling,Topology only,0,5.0,,0.75,0.595,0.0577
subsampling,Topology only,1,5.0,,0.75,0.5835,0.045
subsampling,Topology only,2,5.0,,0.75,0.5979,0.0355
subsampling,Topology only,3,5.0,,0.75,0.6034,0.0362
subsampling,Topology only,4,5.0,,0.75,0.5899,0.0449
subsampling,Topology only,0,5.0,,1.0,0.5973,0.0234
subsampling,Topology only,1,5.0,,1.0,0.5923,0.0544
subsampling,Topology only,2,5.0,,1.0,0.5929,0.0361
subsampling,Topology only,3,5.0,,1.0,0.5986,0.0035
subsampling,Topology only,4,5.0,,1.0,0.5981,0.0134
subsampling,Topo + Shannon,0,5.0,,0.25,0.6617,0.0578
subsampling,Topo + Shannon,1,5.0,,0.25,0.6697,0.0739
subsampling,Topo + Shannon,2,5.0,,0.25,0.6557,0.0723
subsampling,Topo + Shannon,3,5.0,,0.25,0.7023,0.0595
subsampling,Topo + Shannon,4,5.0,,0.25,0.6454,0.0543
subsampling,Topo + Shannon,0,5.0,,0.5,0.68,0.0455
subsampling,Topo + Shannon,1,5.0,,0.5,0.6886,0.0305
subsampling,Topo + Shannon,2,5.0,,0.5,0.6734,0.0388
subsampling,Topo + Shannon,3,5.0,,0.5,0.6649,0.026
subsampling,Topo + Shannon,4,5.0,,0.5,0.6731,0.0295
subsampling,Topo + Shannon,0,5.0,,0.75,0.6499,0.0337
subsampling,Topo + Shannon,1,5.0,,0.75,0.6529,0.0362
subsampling,Topo + Shannon,2,5.0,,0.75,0.6865,0.0298
subsampling,Topo + Shannon,3,5.0,,0.75,0.6697,0.0486
subsampling,Topo + Shannon,4,5.0,,0.75,0.6633,0.0202
subsampling,Topo + Shannon,0,5.0,,1.0,0.6771,0.0219
subsampling,Topo + Shannon,1,5.0,,1.0,0.6683,0.0427
subsampling,Topo + Shannon,2,5.0,,1.0,0.676,0.0419
subsampling,Topo + Shannon,3,5.0,,1.0,0.6781,0.0131
subsampling,Topo + Shannon,4,5.0,,1.0,0.6783,0.0211
