,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Planococcaceae,1.0,0.07765923147970044,0.00950498878955841,-0.00046619098810922466,0.0,0.0,0.20823285106456865
Trabulsiella,1.0,0.038417681686716776,0.002981334924697876,-0.0009321662641706904,0.0,0.0,-0.06798423987888796
Lachnospiraceae,1.0,0.060470385503704094,0.04440465569496155,0.002026642362276714,0.0,0.0,1.0424448475692454
Comamonadaceae,1.0,-0.0010731302754924954,-0.014457836747169495,-0.0021778213835897883,0.0,0.0,-0.6210543085200141
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Parabacteroides,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Clostridiales,3.0,0.19804611438610298,0.06616085767745972,0.0015054891506830863,0.00523868203163147,1.0,2.972154793741866
Coprobacillus,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Ruminococcaceae,2.0,0.16116885437324946,0.05186867713928223,0.0015234886071620862,0.0,1.0,2.01258443723906
Clostridiaceae,-2.0,-0.09978225899463089,-0.019619107246398926,0.0007320128235162489,0.0,0.0,-0.9486374663058336
Clostridiales,0.0,0.0,0.0,0.0,0.0,0.0,-0.21354427000388962
Gemellaceae,0.0,-0.02945221826542266,0.0028237104415893555,0.00018824736277262347,0.0,0.0,-0.2284210356548546
