taxon,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,-3.0,-0.07157598616100547,-0.19820499420166016,-0.0012220379646788251,0.009965360164642334,-1.0,-1.4705992886765433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,-1.0,-0.03180315286416624,-0.044990360736846924,1.4805651091513716e-05,0.0,-2.0,-1.0574219817496469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,1.0,0.010527676992628354,-0.08312737941741943,-0.0028006176392752005,0.0,0.0,-0.5718801099455063
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,1.0,0.021864207673428115,0.03729379177093506,-0.00018276609170227165,0.0,0.0,0.05148455661217472
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,0.0,0.0,0.0,0.0,0.0,0.0,-0.2497690898680922
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA,2.0,0.06708595879118162,0.09749996662139893,0.00013550894762043297,0.0,0.0,0.5856256910739596
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,2.0,0.0253516463476533,0.016316771507263184,-0.0016685620549159105,0.0,0.0,-0.02260576725081165
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,4.0,0.10247161952090744,0.35127168893814087,0.003917850255376332,0.02498072385787964,1.0,3.00610301619729
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,4.0,0.10086270799497532,0.07990837097167969,-0.002392924581052995,0.0,1.0,0.8931701045669347
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,2.0,0.04491583915932251,0.06661403179168701,-0.0005508451597064923,0.0,0.0,0.3204135084490083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,2.0,0.05088072372660424,0.21404725313186646,0.0027254486478530474,0.0,1.0,1.258265207738208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,3.0,0.05053580794672685,0.0934150218963623,-0.000992910774349015,0.0,0.0,0.48155838165536574
