feature_set,lr_auc,lr_auc_sd,rf_auc,rf_auc_sd
H₁ only (6 feat),0.6708391775210694,0.03384900857864057,0.6251230069964415,0.04241092449901656
H₀ only (4 feat),0.6752966264127308,0.06321941293057658,0.5908215157957312,0.05899307203152183
H₀ + H₁ (10 feat),0.6737780146281693,0.058777023621169634,0.6229755032060911,0.050779668710739564
Aitchison-PCoA(10),0.6942727279105648,0.06060123691705101,0.6468082921449653,0.04708043410958513
Aitchison-PCoA + H₀+H₁ (20 feat),0.6977963186560506,0.05333218461173661,0.663034826894043,0.042469003037050694
