,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact,pval,ci_lo,ci_hi
Anaerotruncus,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.316,-1.0033664769882038,0.6570339679603315
Bacteroides,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.322,-0.5897499802444258,0.26180941703089367
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.386,-1.0369228734726894,0.47483412946860976
Oscillospira,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.354,-0.9440457392577972,0.38858112993497734
Ruminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.12665983467156602,0.286,-1.1190989152353257,0.8606023217203748
Ruminococcaceae,0.0,-0.003345053791439234,-0.0005416274070739746,-7.737534386770967e-05,0.0,0.0,0.10850323978597019,0.116,-1.2207048909875529,1.998864140876114
Butyricimonas,0.0,-0.008025504709150866,-0.0013356953859329224,-8.904635906219552e-05,0.0,0.0,0.09252306175834259,0.492,-1.081287250248515,0.8615763152911523
prausnitzii,0.0,-0.015448062053257994,-0.002939581871032715,-0.0004199402672903866,0.0,0.0,0.032553137567890154,0.522,-0.9838331756959466,0.3071830425399733
Trabulsiella,-1.0,-0.038417681686716776,-0.002981334924697876,0.0009321662641706904,0.0,0.0,-0.038957692585158396,0.832,-1.4944933346894356,0.5557317544498118
Coprococcus,-1.0,-0.10717274847295188,-0.004474520683288574,0.0013188826186316359,0.0,0.0,-0.1259932513357343,0.752,-1.1670506316215226,1.2179836137544913
Roseburia,1.0,0.03457801845469288,-0.015364229679107666,-0.003624705154271355,0.0,0.0,-0.15059414304936836,0.11,-2.0031662546044444,1.6860849343456394
Bacteroides,-1.0,-0.15518837106141725,-0.0046215057373046875,0.001131898874328248,0.001873016357421875,0.0,-0.17883134840332837,0.238,-1.2354396846642086,2.052910884100654
Anaerococcus,-1.0,-0.07487507049004227,-0.008847802877426147,0.0005131328389758154,0.0,0.0,-0.19368926804859785,0.928,-0.4564111882674962,0.5353616672453163
Ruminococcus,-1.0,-0.07450002325406135,-0.009323328733444214,0.00047916670640309536,0.0,0.0,-0.2007748734629119,0.918,-1.2313697205465146,0.5035496811277647
Chromatiales,-1.0,-0.07765923147970044,-0.00950498878955841,0.00046619098810922466,0.0,0.0,-0.20889293446150126,0.916,-1.0044518234854094,0.681355692729935
Planococcaceae,-1.0,-0.07765923147970044,-0.00950498878955841,0.00046619098810922466,0.0,0.0,-0.20889293446150126,0.924,-1.3461613097918983,0.7039701802493049
Virgibacillus,-1.0,-0.07765923147970044,-0.00950498878955841,0.00046619098810922466,0.0,0.0,-0.20889293446150126,0.924,-0.7635896742149936,0.5174180296395662
Blautia,-1.0,-0.07898994461217912,-0.009836241602897644,0.000442530072870706,0.0,0.0,-0.21643728606114324,0.908,-1.1537517332202527,0.6762204827408267
moorei,-1.0,-0.07898994461217912,-0.009836241602897644,0.000442530072870706,0.0,0.0,-0.21643728606114324,0.932,-0.7152468276552043,0.5670687479657718
Clostridiales,-2.0,-0.1384086056884659,-0.0069783031940460205,0.00238401833034697,0.0,0.0,-0.26213145587946524,0.92,-1.0576482770321003,1.5156148369109832
Clostridiales,-2.0,-0.08928440769150159,-0.010317102074623108,0.0016727863978116923,0.0,0.0,-0.2834234334608129,0.95,-0.7648630319640601,1.0910785680560398
Lachnospiraceae,-1.0,-0.09542756916340434,-0.015497013926506042,3.8189192612964745e-05,0.0,0.0,-0.33503504481384766,0.968,-1.1359311943574084,0.4401845937124084
[Mogibacteriaceae],0.0,-0.09066263694157084,-0.013751864433288574,-0.0019645520618983663,0.0,0.0,-0.3437264173734877,0.804,-0.7219472776889125,0.6199294156430988
faecis,1.0,0.2671078612505162,-0.01906341314315796,-0.007418467884971983,-0.007914423942565918,0.0,-0.38026203594243085,0.048,-2.748796019756841,1.9553335117582586
Ruminococcaceae,0.0,-0.09052467443738821,-0.016837477684020996,-0.0024053539548601413,0.0,0.0,-0.4157124726217806,0.78,-2.11400342641428,0.5691859268630622
Clostridiales,-1.0,-0.028043991494197673,-0.03202790021896362,-0.0011425883997054336,-0.00523868203163147,0.0,-0.6210538317265055,0.586,-2.9739968995302193,1.0031786869511936
Bacteroides,-1.0,-0.0941281526442701,-0.01487189531326294,8.284052213032925e-05,0.0,-1.0,-0.6984452947530867,0.768,-1.9112290661859075,1.502794904249511
Lachnospiraceae,-3.0,-0.18785781030128712,-0.024825677275657654,0.0019391092161337511,0.0,0.0,-0.7183661122651626,0.99,-1.141762021867063,0.8712879147045134
Lachnospiraceae,-1.0,-0.060470385503704094,-0.04440465569496155,-0.002026642362276714,0.0,0.0,-0.7458545128610398,0.994,-1.2959120016568793,0.46341946568268905
Erwinia,-1.0,-0.060470385503704094,-0.04440465569496155,-0.002026642362276714,0.0,0.0,-0.7458545128610398,0.996,-1.1001699575749277,0.4531615195584293
Bacteroides,0.0,0.07529322067119737,-0.034305691719055176,-0.0031678080558776855,0.0,-1.0,-0.7535537084665923,0.98,-2.3392484499125277,1.5181759143781837
Ruminococcaceae,-1.0,-0.06407400197530966,-0.020642638206481934,-0.0012040769224201837,0.0,-1.0,-0.8309394787318977,0.78,-2.892744707912756,1.201928595865134
Clostridiales,-2.0,-0.07955789579937922,-0.061462223529815674,-0.003226647064799356,-0.00523868203163147,-1.0,-1.7258728850793308,0.994,-2.7870251065130236,1.298260907262634
Dorea,-2.0,-0.12938922677018594,-0.060112714767456055,-0.002157645347790841,-0.00523868203163147,-2.0,-2.063157958584517,1.0,-1.9356787700950049,0.21129418936634545
Lachnospiraceae,-4.0,-0.48138463202118054,-0.05151265859603882,0.0007905009247007808,0.0,-2.0,-2.476289786354829,0.89,-2.768248575532043,0.9669566690344557
